180.76.5.168;[21/Sep/2014:06:51:22 -0400];"GET /~rawalker/ HTTP/1.1";42820
193.201.224.140;[21/Sep/2014:08:04:23 -0400];"GET /mspapers/sources/jason-long.pdf HTTP/1.1";1403410
71.207.53.35;[21/Sep/2014:09:08:16 -0400];"GET / HTTP/1.1";13520
71.207.53.35;[21/Sep/2014:09:08:16 -0400];"GET /index-style.css HTTP/1.1";1498
71.207.53.35;[21/Sep/2014:09:08:16 -0400];"GET /switch-menu.js HTTP/1.1";2685
71.207.53.35;[21/Sep/2014:09:08:16 -0400];"GET /graphics/Shield.gif HTTP/1.1";1510
71.207.53.35;[21/Sep/2014:09:08:16 -0400];"GET /graphics/logo16.png HTTP/1.1";38873
193.201.224.140;[21/Sep/2014:09:31:12 -0400];"GET /mspapers/sources/resham-mahadeo HTTP/1.1";107452
117.254.124.32;[21/Sep/2014:10:00:33 -0400];"GET /resources/journal-list.html HTTP/1.1";38958
117.254.124.32;[21/Sep/2014:10:00:34 -0400];"GET /resources/resources-style.css HTTP/1.1";665
117.254.124.32;[21/Sep/2014:10:00:38 -0400];"GET /favicon.ico HTTP/1.1";1150
202.46.53.39;[21/Sep/2014:11:03:39 -0400];"GET / HTTP/1.1";13520
122.161.34.149;[21/Sep/2014:11:53:10 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
122.161.34.149;[21/Sep/2014:11:53:10 -0400];"GET /cs/cs-style.css HTTP/1.1";795
122.161.34.149;[21/Sep/2014:11:53:11 -0400];"GET /favicon.ico HTTP/1.1";1150
122.161.34.149;[21/Sep/2014:11:58:07 -0400];"GET /cs/csprereq.html HTTP/1.1";7176
122.161.34.149;[21/Sep/2014:11:58:08 -0400];"GET /cs/cs-prereq.png HTTP/1.1";126581
122.161.34.149;[21/Sep/2014:11:58:20 -0400];"GET /cs/cstypical.html HTTP/1.1";19929
122.161.34.149;[21/Sep/2014:12:02:17 -0400];"GET /cs/cs-prereq.pdf HTTP/1.1";44497
71.207.53.35;[21/Sep/2014:12:32:34 -0400];"GET /cs/cstypical.html HTTP/1.1";19929
71.207.53.35;[21/Sep/2014:12:32:34 -0400];"GET /cs/cs-style.css HTTP/1.1";795
61.3.109.173;[21/Sep/2014:13:06:54 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
61.3.109.173;[21/Sep/2014:13:06:54 -0400];"GET /cs/cs-style.css HTTP/1.1";795
61.3.109.173;[21/Sep/2014:13:06:55 -0400];"GET /favicon.ico HTTP/1.1";1150
100.2.167.120;[21/Sep/2014:14:15:55 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
100.2.167.120;[21/Sep/2014:14:15:55 -0400];"GET /cs/cs-style.css HTTP/1.1";795
100.2.167.120;[21/Sep/2014:14:15:55 -0400];"GET /favicon.ico HTTP/1.1";1150
82.28.221.65;[21/Sep/2014:15:14:51 -0400];"GET /favicon.ico HTTP/1.1";1150
101.226.169.217;[21/Sep/2014:16:21:29 -0400];"GET /benchmarks/file_instances/vertex_cover/clique_complement/MANN_a81.clq-compliment.txt HTTP/1.1";370
202.46.57.61;[21/Sep/2014:17:14:47 -0400];"GET / HTTP/1.1";13520
104.39.7.150;[21/Sep/2014:18:10:00 -0400];"GET / HTTP/1.1";13520
104.39.7.150;[21/Sep/2014:18:10:00 -0400];"GET /index-style.css HTTP/1.1";1498
104.39.7.150;[21/Sep/2014:18:10:00 -0400];"GET /switch-menu.js HTTP/1.1";2685
104.39.7.150;[21/Sep/2014:18:10:00 -0400];"GET /graphics/Shield.gif HTTP/1.1";1510
